age,salary,phone,remote_work
25.0,59767.65,-1651623197,True
,65304.66,-1898471390,True
,88145.9,-5596363211,True
25.0,69450.99,-3476490784,True
25.0,109324.61,-1586734256,False
40.0,88642.84,-5409003485,False
,96288.43,-4518376063,False
30.0,94497.91,-4134327559,True
35.0,115565.82,-4177656123,True
,76561.88,-8156985699,True
35.0,72081.71,-2720634590,False
,84946.19,-1238296576,True
30.0,89295.77,-2429543164,False
,85666.84,-2669300892,False
25.0,97633.68,-1734206968,True
40.0,117975.49,-4215291085,True
25.0,94867.33,-7713334475,False
30.0,100377.65,-2639343625,True
,94726.46,-2044397358,False
35.0,91926.12,-7107256365,True
35.0,111460.67,-9411800536,True
40.0,96182.56,-5990048963,False
35.0,115023.94,-6528092427,True
35.0,80667.01,-7572158623,False
30.0,91181.61,-1502745643,True
25.0,66025.92,-9485625727,False
25.0,83979.01,-7032032073,False
30.0,56785.16,-2761707586,True
40.0,95741.88,-7712151341,False
40.0,63411.31,-2849939088,True
40.0,111214.02,-2613715040,True
25.0,114845.69,-6591520176,True
40.0,78072.82,-7490509758,False
25.0,79610.52,-2304501895,False
30.0,90542.62,-1642361031,True
25.0,114357.1,-6642147648,True
,54757.26,-2515837766,False
25.0,52781.92,-4996165925,True
35.0,66708.02,-6108573277,True
40.0,93481.15,-8147617421,False
25.0,59271.96,-4386490809,True
30.0,108362.15,-8186617944,False
,59400.38,-4918017225,True
,64744.08,-164597793,False
,94399.91,-5232194167,True
25.0,61310.74,-61027768,True
,98371.37,-7499564121,False
35.0,58921.19,-310303722,True
35.0,57195.55,-6831472759,False
,61375.12,-1227770792,True
40.0,104767.05,-3496050165,False
35.0,111051.67,-7998407677,False
30.0,105674.18,-9973080694,False
30.0,54859.45,-8146717956,False
,115746.6,-6024375737,True
30.0,91759.99,-3959724664,True
40.0,112965.33,-7293417222,False
40.0,100360.1,-2971674337,False
35.0,93620.88,-54522800,False
35.0,72832.8,-5619318373,True
30.0,102369.42,-5508428909,True
40.0,64712.79,-7711991807,True
40.0,85782.18,-1213524786,True
25.0,93348.26,-1255213759,False
35.0,53234.96,-3754821455,False
40.0,100284.21,-5328632665,False
30.0,112486.19,-7850720810,True
40.0,82518.49,-5562606028,True
40.0,119152.47,-846684549,True
,113479.83,-4892673898,False
40.0,94636.3,-7563410855,False
30.0,70000.97,-2884318847,True
,76812.47,-5200894345,False
25.0,82614.7,-8105485100,True
40.0,111645.97,-7490753997,True
25.0,112414.91,-9354492682,False
40.0,52031.74,-1589357125,True
30.0,51887.65,-6110627370,False
25.0,82318.89,-5869886496,True
35.0,103286.08,-6776228276,False
35.0,87759.33,-2881377027,False
30.0,102796.32,-5196115939,False
25.0,83149.27,-8215454469,True
40.0,92412.49,-2296044326,True
30.0,115022.1,-185106793,False
40.0,98343.01,-9756792286,False
35.0,118869.1,-7725199662,True
,85417.26,-6580741208,True
40.0,112410.25,-4818139889,True
40.0,68905.77,-9837801819,False
40.0,72561.32,-4339718955,True
35.0,92723.22,-9070562607,True
40.0,74837.75,-5641118241,False
,86163.91,-2412462094,True
40.0,83326.52,-2004615264,True
25.0,98425.1,-4610339936,True
40.0,119764.2,-8861405785,False
40.0,58445.91,-1706304890,False
,101702.33,-3824967182,False
25.0,,-2582386869,False
35.0,98819.22,-794200748,False
25.0,83509.99,-4653984027,False
35.0,84422.26,-9141612845,False
30.0,119574.27,-3985547434,True
,86580.08,-5379502096,True
35.0,93471.91,-26876810,False
30.0,55683.12,-8071569561,True
30.0,91566.78,-175370303,True
35.0,81782.19,-5319433749,False
,88119.37,-4793036148,True
30.0,71532.83,-8728399920,True
40.0,98981.36,-9212493842,True
40.0,80242.01,-894870604,True
25.0,110236.18,-6641877579,True
35.0,86327.47,-3046875062,False
30.0,84420.81,-5190361331,False
40.0,110041.32,-5411076094,False
35.0,81837.81,-4317350582,True
25.0,110855.72,-1997179109,False
30.0,84894.52,-651207048,True
30.0,80668.13,-6110804660,True
25.0,61086.47,-9639907675,True
25.0,95339.68,-9915078592,True
,83774.97,-1109193927,False
,85576.86,-4567972319,False
35.0,107438.46,-249685497,True
,60401.68,-2274954507,False
35.0,115299.66,-9203880652,True
,72272.34,-3315377958,False
40.0,117537.71,-9594652169,False
25.0,51074.33,-7303379336,True
25.0,98489.32,-5636205014,False
,112120.71,-812473949,True
,114465.04,-334234257,False
40.0,57035.51,-3230241025,True
25.0,75092.43,-1534735527,True
,62603.98,-9611223385,False
,60018.24,-5596309937,False
40.0,82567.73,-4253042896,True
25.0,94725.71,-3179128684,False
40.0,83824.56,-7872558776,False
,118456.11,-4969033372,True
25.0,113743.19,-6346692547,True
30.0,63309.24,-1214785389,False
25.0,105202.73,-7895677664,True
30.0,79085.22,-7546027340,True
,113983.43,-5148881430,True
35.0,102790.6,-1150835353,False
,68512.1,-4439284043,False
35.0,57584.23,-5669078262,True
,95335.67,-3373898774,False
35.0,53174.28,-1536637779,True
25.0,77205.21,-5292407552,False
,79041.92,-6668459089,True
,75937.1,-2259999662,True
35.0,113118.73,-6186371596,False
40.0,107693.38,-4121820969,True
,119217.46,-2316433480,False
25.0,106913.71,-7058025661,False
,87815.08,-1286716322,True
25.0,105190.21,-4672994937,True
30.0,79467.24,-7430271692,False
40.0,57633.78,-8597779013,True
,54257.78,-7546926328,True
40.0,113679.06,-6762916031,True
35.0,69251.12,-4841376814,True
40.0,85388.58,-1185672437,True
,112166.37,-701765635,False
40.0,79873.48,-41257770,False
30.0,108224.03,-1837274219,True
35.0,116963.72,-9124186209,True
40.0,114109.06,-4275230836,True
,85518.88,-816470899,False
30.0,58041.97,-6335331059,True
40.0,94988.94,-531312205,False
25.0,71628.93,-8155839385,False
30.0,54870.98,-6133155205,False
25.0,79388.27,-5063731494,True
35.0,55946.99,-136497188,False
,81017.91,-2419562524,True
40.0,74162.1,-7150997682,False
,77668.44,-8903091435,True
30.0,67886.37,-3910257431,False
40.0,76614.52,-6303975244,True
25.0,51311.91,-864035532,False
,94809.92,-8033968526,True
25.0,108241.81,-171302320,True
40.0,78031.49,-2983381673,True
35.0,85733.83,-2336293448,True
35.0,60338.29,-7347156626,False
30.0,103140.67,-7689627065,False
40.0,114690.8,-1498282466,True
35.0,80954.56,-4746897151,False
,71728.55,-7323008575,True
35.0,118415.8,-6656749159,True
40.0,81481.36,-1692364586,False
35.0,117040.57,-5066337049,True
